	gene_short_name
Chmp4b	Chmp4b
Gm14216	Gm14216
Gm14214	Gm14214
Raly	Raly
a	a
Eif2s2	Eif2s2
Gm14226	Gm14226
Ahcy	Ahcy
2310005A03Rik	2310005A03Rik
Itch	Itch
Dynlrb1	Dynlrb1
Map1lc3a	Map1lc3a
Pigu	Pigu
Trp53inp2	Trp53inp2
Ncoa6	Ncoa6
Ggt7	Ggt7
Acss2	Acss2
Acss2os	Acss2os
Gss	Gss
Gssos2	Gssos2
Gssos1	Gssos1
Gm14257	Gm14257
Myh7b	Myh7b
Trpc4ap	Trpc4ap
Edem2	Edem2
Gm17581	Gm17581
Procr	Procr
Mmp24	Mmp24
BC029722	BC029722
Eif6	Eif6
Gm16098	Gm16098
Fam83c	Fam83c
Uqcc1	Uqcc1
Gm15557	Gm15557
Gdf5	Gdf5
Cep250	Cep250
6430550D23Rik	6430550D23Rik
Ergic3	Ergic3
Fer1l4	Fer1l4
Spag4	Spag4
Cpne1	Cpne1
Gm28036	Gm28036
Rbm12	Rbm12
Nfs1	Nfs1
Romo1	Romo1
Rbm39	Rbm39
Phf20	Phf20
Scand1	Scand1
Cnbd2	Cnbd2
Gm14252	Gm14252
Gm14170	Gm14170
Epb41l1	Epb41l1
Gm14225	Gm14225
Gm14224	Gm14224
Aar2	Aar2
Gm14168	Gm14168
Dlgap4	Dlgap4
Gm14174	Gm14174
Myl9	Myl9
Gm14230	Gm14230
Tgif2	Tgif2
4930518I15Rik	4930518I15Rik
1110008F13Rik	1110008F13Rik
Sla2	Sla2
Ndrg3	Ndrg3
Dsn1	Dsn1
Soga1	Soga1
Tldc2	Tldc2
Samhd1	Samhd1
Rbl1	Rbl1
Mroh8	Mroh8
Rpn2	Rpn2
Ghrh	Ghrh
Manbal	Manbal
Src	Src
Gm14286	Gm14286
Blcap	Blcap
Nnat	Nnat
Platr27	Platr27
Ctnnbl1	Ctnnbl1
Vstm2l	Vstm2l
Tti1	Tti1
Rprd1b	Rprd1b
2010009K17Rik	2010009K17Rik
Tgm2	Tgm2
D630003M21Rik	D630003M21Rik
1700060C20Rik	1700060C20Rik
Bpi	Bpi
Lbp	Lbp
Gm23925	Gm23925
Snhg11	Snhg11
Ralgapb	Ralgapb
Adig	Adig
Arhgap40	Arhgap40
Slc32a1	Slc32a1
Gm14205	Gm14205
Actr5	Actr5
Ppp1r16b	Ppp1r16b
Fam83d	Fam83d
Dhx35	Dhx35
Gm14223	Gm14223
9130015L21Rik	9130015L21Rik
Gm826	Gm826
Mafb	Mafb
Gm14221	Gm14221
Top1	Top1
Plcg1	Plcg1
Gm27206	Gm27206
Zhx3	Zhx3
Gm16751	Gm16751
Lpin3	Lpin3
Emilin3	Emilin3
Gm14228	Gm14228
Chd6	Chd6
Gm14243	Gm14243
Gm14242	Gm14242
Gm14241	Gm14241
Ptprt	Ptprt
Ptprtos	Ptprtos
Gm14246	Gm14246
Gm14255	Gm14255
Srsf6	Srsf6
L3mbtl1	L3mbtl1
Sgk2	Sgk2
Ift52	Ift52
Mybl2	Mybl2
Gtsf1l	Gtsf1l
Gm11454	Gm11454
Gm14254	Gm14254
Tox2	Tox2
Jph2	Jph2
Oser1	Oser1
2900093K20Rik	2900093K20Rik
Gdap1l1	Gdap1l1
Fitm2	Fitm2
2310001K24Rik	2310001K24Rik
R3hdml	R3hdml
Hnf4aos	Hnf4aos
Hnf4a	Hnf4a
Ttpal	Ttpal
Serinc3	Serinc3
0610039K10Rik	0610039K10Rik
Pkig	Pkig
Gm16316	Gm16316
Ada	Ada
Wisp2	Wisp2
Kcnk15	Kcnk15
Rims4	Rims4
Ywhab	Ywhab
Pabpc1l	Pabpc1l
Tomm34	Tomm34
Stk4	Stk4
Gm11455	Gm11455
Kcns1	Kcns1
Wfdc5	Wfdc5
A730032A03Rik	A730032A03Rik
Wfdc12	Wfdc12
Wfdc15a	Wfdc15a
Wfdc15b	Wfdc15b
Svs2	Svs2
Svs3b	Svs3b
Svs4	Svs4
Svs3a	Svs3a
Svs6	Svs6
Svs5	Svs5
Slpi	Slpi
Matn4	Matn4
Rbpjl	Rbpjl
Sdc4	Sdc4
Sys1	Sys1
Gm14302	Gm14302
Gm20458	Gm20458
Trp53tg5	Trp53tg5
Dbndd2	Dbndd2
Pigt	Pigt
Gm14317	Gm14317
Wfdc2	Wfdc2
Spint3	Spint3
Wfdc6a	Wfdc6a
Eppin	Eppin
Wfdc8	Wfdc8
Wfdc6b	Wfdc6b
Wfdc16	Wfdc16
Wfdc9	Wfdc9
Wfdc10	Wfdc10
Wfdc11	Wfdc11
Wfdc13	Wfdc13
Spint4	Spint4
Spint5	Spint5
Wfdc3	Wfdc3
Dnttip1	Dnttip1
Gm11457	Gm11457
Ube2c	Ube2c
Tnnc2	Tnnc2
Snx21	Snx21
Acot8	Acot8
Zswim3	Zswim3
Zswim1	Zswim1
Spata25	Spata25
Neurl2	Neurl2
Ctsa	Ctsa
Pltp	Pltp
Pcif1	Pcif1
Zfp335	Zfp335
Zfp335os	Zfp335os
Mmp9	Mmp9
Slc12a5	Slc12a5
Ncoa5	Ncoa5
Cd40	Cd40
1700025C18Rik	1700025C18Rik
Cdh22	Cdh22
Gm14397	Gm14397
Slc35c2	Slc35c2
Elmo2	Elmo2
Zfp663	Zfp663
Zfp334	Zfp334
Ocstamp	Ocstamp
Slc13a3	Slc13a3
Gm14437	Gm14437
Trp53rka	Trp53rka
Slc2a10	Slc2a10
Eya2	Eya2
Gm28163	Gm28163
Zmynd8	Zmynd8
Gm11465	Gm11465
Platr29	Platr29
Gm11464	Gm11464
Ncoa3	Ncoa3
Sulf2	Sulf2
Gm11466	Gm11466
Gm11467	Gm11467
Gm11468	Gm11468
Gm14268	Gm14268
5031425F14Rik	5031425F14Rik
Gm14267	Gm14267
Prex1	Prex1
Trp53rkb	Trp53rkb
Arfgef2	Arfgef2
Cse1l	Cse1l
Gm17096	Gm17096
Stau1	Stau1
Ddx27	Ddx27
Znfx1	Znfx1
Zfos1	Zfos1
Kcnb1	Kcnb1
Ptgis	Ptgis
Gm14291	Gm14291
B4galt5	B4galt5
Slc9a8	Slc9a8
Spata2	Spata2
Rnf114	Rnf114
Snai1	Snai1
Ube2v1	Ube2v1
Gm20431	Gm20431
Tmem189	Tmem189
Gm14320	Gm14320
Cebpb	Cebpb
A530013C23Rik	A530013C23Rik
Gm14321	Gm14321
9230111E07Rik	9230111E07Rik
1200007C13Rik	1200007C13Rik
Gm14319	Gm14319
Ptpn1	Ptpn1
Fam65c	Fam65c
Gm14236	Gm14236
Pard6b	Pard6b
Gm14235	Gm14235
E130018N17Rik	E130018N17Rik
Gm20716	Gm20716
Adnp	Adnp
Dpm1	Dpm1
Mocs3	Mocs3
Kcng1	Kcng1
Gm14262	Gm14262
Nfatc2	Nfatc2
Atp9a	Atp9a
Sall4	Sall4
Zfp64	Zfp64
1700017J07Rik	1700017J07Rik
Gm14260	Gm14260
Gm9873	Gm9873
Gm14258	Gm14258
9430093N23Rik	9430093N23Rik
Gm14250	Gm14250
4930529I22Rik	4930529I22Rik
Gm14249	Gm14249
Gm11011	Gm11011
Tshz2	Tshz2
Gm26883	Gm26883
A630075F10Rik	A630075F10Rik
Zfp217	Zfp217
Gm17619	Gm17619
Bcas1	Bcas1
Bcas1os2	Bcas1os2
Bcas1os1	Bcas1os1
Cyp24a1	Cyp24a1
Pfdn4	Pfdn4
Gm16796	Gm16796
Gm14637	Gm14637
4930470P17Rik	4930470P17Rik
Gm14264	Gm14264
Dok5	Dok5
Gm14266	Gm14266
Gm14640	Gm14640
1700007M16Rik	1700007M16Rik
Gm14272	Gm14272
Gm14641	Gm14641
Cbln4	Cbln4
Gm14271	Gm14271
Mc3r	Mc3r
Gm14275	Gm14275
Gm14273	Gm14273
Fam210b	Fam210b
Aurka	Aurka
Cstf1	Cstf1
Cass4	Cass4
Rtfdc1	Rtfdc1
Gcnt7	Gcnt7
Fam209	Fam209
Tfap2c	Tfap2c
Bmp7	Bmp7
Spo11	Spo11
Rae1	Rae1
Rbm38	Rbm38
Gm14453	Gm14453
Ctcfl	Ctcfl
Ctcflos	Ctcflos
Pck1	Pck1
Zbp1	Zbp1
Pmepa1	Pmepa1
Pmepa1os	Pmepa1os
Gm14642	Gm14642
1700021F07Rik	1700021F07Rik
Ankrd60	Ankrd60
Rab22a	Rab22a
1700010B08Rik	1700010B08Rik
Vapb	Vapb
Stx16	Stx16
Npepl1	Npepl1
Gm10714	Gm10714
Nespas	Nespas
Gnas	Gnas
Gm20721	Gm20721
Nelfcd	Nelfcd
Ctsz	Ctsz
Tubb1	Tubb1
Atp5e	Atp5e
Slmo2	Slmo2
Zfp831	Zfp831
Edn3	Edn3
Gm14618	Gm14618
Gm14616	Gm14616
Gm14444	Gm14444
Gm14393	Gm14393
Gm14399	Gm14399
Gm14443	Gm14443
Gm14391	Gm14391
Gm14440	Gm14440
Gm4631	Gm4631
Gm4723	Gm4723
Gm4724	Gm4724
Gm8923	Gm8923
Gm11007	Gm11007
Gm4245	Gm4245
Gm2007	Gm2007
Gm14288	Gm14288
Gm6710	Gm6710
Gm8898	Gm8898
Gm2026	Gm2026
Gm11008	Gm11008
Gm2004	Gm2004
2210418O10Rik	2210418O10Rik
Gm11009	Gm11009
Gm14435	Gm14435
Gm14434	Gm14434
Gm14431	Gm14431
Gm14308	Gm14308
Gm14306	Gm14306
Gm14305	Gm14305
Gm14295	Gm14295
Gm14408	Gm14408
Gm14296	Gm14296
Gm14419	Gm14419
Gm14401	Gm14401
Gm14410	Gm14410
Gm14409	Gm14409
Gm14412	Gm14412
Gm14418	Gm14418
Gm14420	Gm14420
Gm14403	Gm14403
Gm14406	Gm14406
Gm14322	Gm14322
Gm14325	Gm14325
Gm14327	Gm14327
C330013J21Rik	C330013J21Rik
Gm14326	Gm14326
Etohi1	Etohi1
Gm26869	Gm26869
Zfp931	Zfp931
Phactr3	Phactr3
Sycp2	Sycp2
Ppp1r3d	Ppp1r3d
Fam217b	Fam217b
Cdh26	Cdh26
4930591A17Rik	4930591A17Rik
Cdh4	Cdh4
Taf4a	Taf4a
Lsm14b	Lsm14b
Psma7	Psma7
Ss18l1	Ss18l1
Mtg2	Mtg2
Hrh3	Hrh3
Gm17180	Gm17180
Osbpl2	Osbpl2
Adrm1	Adrm1
Lama5	Lama5
Rps21	Rps21
Cables2	Cables2
Rbbp8nl	Rbbp8nl
Gata5	Gata5
Gata5os	Gata5os
B230312C02Rik	B230312C02Rik
Slco4a1	Slco4a1
Ntsr1	Ntsr1
Mrgbp	Mrgbp
Ogfr	Ogfr
Col9a3	Col9a3
Tcfl5	Tcfl5
Dido1	Dido1
Gid8	Gid8
Slc17a9	Slc17a9
Bhlhe23	Bhlhe23
Gm14340	Gm14340
Gm14342	Gm14342
Gm14344	Gm14344
Gm14339	Gm14339
Gm27032	Gm27032
Ythdf1	Ythdf1
Birc7	Birc7
Nkain4	Nkain4
Gm14341	Gm14341
Arfgap1	Arfgap1
Col20a1	Col20a1
Chrna4	Chrna4
Kcnq2	Kcnq2
Eef1a2	Eef1a2
Ppdpf	Ppdpf
Ptk6	Ptk6
Srms	Srms
BC051628	BC051628
Helz2	Helz2
Gmeb2	Gmeb2
Stmn3	Stmn3
Rtel1	Rtel1
Arfrp1	Arfrp1
Zgpat	Zgpat
Lime1	Lime1
Zbtb46	Zbtb46
Abhd16b	Abhd16b
Tpd52l2	Tpd52l2
Dnajc5	Dnajc5
Uckl1	Uckl1
Uckl1os	Uckl1os
Zfp512b	Zfp512b
Prpf6	Prpf6
Samd10	Samd10
RP23-138J20.8	RP23-138J20.8
Sox18	Sox18
Tcea2	Tcea2
Rgs19	Rgs19
Lkaaear1	Lkaaear1
Oprl1	Oprl1
Myt1	Myt1
Pcmtd2	Pcmtd2
Polr3k	Polr3k
Gm14496	Gm14496
Gm21950	Gm21950
Gm21364	Gm21364
Gm14346	Gm14346
Gm14345	Gm14345
Gm14351	Gm14351
Gm3701	Gm3701
Gm3706	Gm3706
Gm14347	Gm14347
Gm10921	Gm10921
Gm10922	Gm10922
Gm3750	Gm3750
Gm3763	Gm3763
Mycs	Mycs
Gm14374	Gm14374
Nudt11	Nudt11
AU022751	AU022751
Nudt10	Nudt10
Bmp15	Bmp15
Shroom4	Shroom4
Dgkk	Dgkk
Ccnb3	Ccnb3
Akap4	Akap4
Clcn5	Clcn5
Usp27x	Usp27x
Ppp1r3f	Ppp1r3f
Ppp1r3fos	Ppp1r3fos
Foxp3	Foxp3
Ccdc22	Ccdc22
Cacna1f	Cacna1f
Syp	Syp
Gm14703	Gm14703
Prickle3	Prickle3
Plp2	Plp2
Magix	Magix
Gpkow	Gpkow
Wdr45	Wdr45
RP23-109E24.10	RP23-109E24.10
Praf2	Praf2
Ccdc120	Ccdc120
Tfe3	Tfe3
Gripap1	Gripap1
Kcnd1	Kcnd1
Otud5	Otud5
Pim2	Pim2
Slc35a2	Slc35a2
Pqbp1	Pqbp1
Timm17b	Timm17b
Gm10491	Gm10491
Gm10490	Gm10490
Pcsk1n	Pcsk1n
Eras	Eras
Hdac6	Hdac6
Gata1	Gata1
Glod5	Glod5
Gm14820	Gm14820
Suv39h1	Suv39h1
Was	Was
Wdr13	Wdr13
Rbm3	Rbm3
Rbm3os	Rbm3os
Tbc1d25	Tbc1d25
Ebp	Ebp
Porcn	Porcn
Ftsj1	Ftsj1
Slc38a5	Slc38a5
Ssxb10	Ssxb10
Ssxb9	Ssxb9
Ssxb1	Ssxb1
Ssxb2	Ssxb2
Gm14459	Gm14459
Ssxb6	Ssxb6
Ssxb3	Ssxb3
Ssxb8	Ssxb8
Ssx9	Ssx9
Ssxb5	Ssxb5
Gm6592	Gm6592
Gm5751	Gm5751
B630019K06Rik	B630019K06Rik
Fthl17b	Fthl17b
Fthl17c	Fthl17c
Fthl17d	Fthl17d
Fthl17e	Fthl17e
Fthl17f	Fthl17f
4930402K13Rik	4930402K13Rik
Lancl3	Lancl3
Gm14862	Gm14862
Xk	Xk
1700012L04Rik	1700012L04Rik
Gm14501	Gm14501
Cybb	Cybb
Gm5132	Gm5132
Dynlt3	Dynlt3
Hypm	Hypm
4930557A04Rik	4930557A04Rik
Sytl5	Sytl5
Srpx	Srpx
Rpgr	Rpgr
Otc	Otc
Tspan7	Tspan7
Gm10489	Gm10489
Mid1ip1	Mid1ip1
Gm14493	Gm14493
Gm14483	Gm14483
Gm14474	Gm14474
Gm14477	Gm14477
Gm14476	Gm14476
Gm14484	Gm14484
Gm14479	Gm14479
Gm14482	Gm14482
Gm14478	Gm14478
Gm14475	Gm14475
Gm4906	Gm4906
Bcor	Bcor
Gm14635	Gm14635
Atp6ap2	Atp6ap2
1810030O07Rik	1810030O07Rik
Med14	Med14
Usp9x	Usp9x
2010308F09Rik	2010308F09Rik
Ddx3x	Ddx3x
Nyx	Nyx
Cask	Cask
Gpr34	Gpr34
Gpr82	Gpr82
Gm5382	Gm5382
Gm14505	Gm14505
Drr1	Drr1
Cypt1	Cypt1
Maoa	Maoa
Maob	Maob
Ndp	Ndp
Efhc2	Efhc2
Fundc1	Fundc1
Dusp21	Dusp21
Kdm6a	Kdm6a
4930578C19Rik	4930578C19Rik
Gm26652	Gm26652
BC049702	BC049702
Chst7	Chst7
Slc9a7	Slc9a7
Rp2	Rp2
Jade3	Jade3
Rgn	Rgn
Ndufb11	Ndufb11
Rbm10	Rbm10
Uba1	Uba1
Cdk16	Cdk16
Usp11	Usp11
Araf	Araf
Syn1	Syn1
Timp1	Timp1
Cfp	Cfp
Elk1	Elk1
Uxt	Uxt
Zfp182	Zfp182
Spaca5	Spaca5
Zfp300	Zfp300
Ssxa1	Ssxa1
Gm21876	Gm21876
4930453H23Rik	4930453H23Rik
Gm6938	Gm6938
Gm26593	Gm26593
Agtr2	Agtr2
Slc6a14	Slc6a14
Gm28269	Gm28269
Gm28268	Gm28268
Klhl13	Klhl13
Wdr44	Wdr44
Gm4907	Gm4907
Gm4985	Gm4985
Gm27192	Gm27192
Gm5934	Gm5934
Gm4297	Gm4297
Gm5935	Gm5935
Gm5169	Gm5169
Gm1993	Gm1993
E330010L02Rik	E330010L02Rik
Gm5168	Gm5168
Gm2012	Gm2012
Gm2030	Gm2030
Slx	Slx
Gm14525	Gm14525
Gm6121	Gm6121
Gm10230	Gm10230
Gm2101	Gm2101
Gm10058	Gm10058
Gm2117	Gm2117
Gm4836	Gm4836
Gm10147	Gm10147
Gm2165	Gm2165
Gm10096	Gm10096
Gm2200	Gm2200
Gm26818	Gm26818
Gm3669	Gm3669
Gm10488	Gm10488
E330016L19Rik	E330016L19Rik
Gm14632	Gm14632
Gm7437	Gm7437
Gm14974	Gm14974
Gm10487	Gm10487
Gm21447	Gm21447
Spin2f	Spin2f
Gm2784	Gm2784
Gm2777	Gm2777
Gm21883	Gm21883
Spin2e	Spin2e
Gm21608	Gm21608
Gm21637	Gm21637
Gm21645	Gm21645
Gm2799	Gm2799
Gmcl1l	Gmcl1l
Gm5926	Gm5926
Gm21951	Gm21951
Gm21657	Gm21657
Gm21789	Gm21789
Gm2825	Gm2825
Spin2-ps6	Spin2-ps6
Gm2863	Gm2863
Gm2854	Gm2854
Gm2913	Gm2913
Gm2927	Gm2927
Gm2933	Gm2933
Gm2964	Gm2964
Gm21870	Gm21870
Gm21681	Gm21681
Spin2g	Spin2g
Gm21699	Gm21699
Gm14552	Gm14552
Gm10486	Gm10486
Gm2309	Gm2309
Gm14553	Gm14553
Gm14819	Gm14819
Dock11	Dock11
Il13ra1	Il13ra1
Zcchc12	Zcchc12
Lonrf3	Lonrf3
Gm6268	Gm6268
Gm14569	Gm14569
Pgrmc1	Pgrmc1
Akap17b	Akap17b
Slc25a43	Slc25a43
Slc25a5	Slc25a5
Gm14549	Gm14549
2310010G23Rik	2310010G23Rik
C330007P06Rik	C330007P06Rik
Ube2a	Ube2a
Nkrf	Nkrf
Gm15008	Gm15008
Sept6	Sept6
Sowahd	Sowahd
Rpl39	Rpl39
Upf3b	Upf3b
Nkap	Nkap
Akap14	Akap14
Ndufa1	Ndufa1
Rnf113a1	Rnf113a1
Gm9	Gm9
Rhox1	Rhox1
Rhox2a	Rhox2a
Rhox3a	Rhox3a
Rhox4a	Rhox4a
Rhox3a2	Rhox3a2
Rhox4a2	Rhox4a2
Rhox2b	Rhox2b
Rhox4b	Rhox4b
Rhox2c	Rhox2c
Rhox3c	Rhox3c
Rhox4c	Rhox4c
Rhox2d	Rhox2d
Rhox4d	Rhox4d
Rhox2e	Rhox2e
Rhox3e	Rhox3e
Rhox4e	Rhox4e
Rhox2f	Rhox2f
Rhox3f	Rhox3f
Rhox4f	Rhox4f
Rhox3g	Rhox3g
Rhox2g	Rhox2g
Rhox4g	Rhox4g
Rhox3h	Rhox3h
Rhox2h	Rhox2h
Rhox5	Rhox5
Rhox6	Rhox6
Rhox7a	Rhox7a
Rhox8	Rhox8
Rhox7b	Rhox7b
Rhox9	Rhox9
Btg1-ps1	Btg1-ps1
Btg1-ps2	Btg1-ps2
Rhox10	Rhox10
Rhox11	Rhox11
Rhox12	Rhox12
Rhox13	Rhox13
Zbtb33	Zbtb33
Tmem255a	Tmem255a
Atp1b4	Atp1b4
Lamp2	Lamp2
Gm7598	Gm7598
Cul4b	Cul4b
Mcts1	Mcts1
C1galt1c1	C1galt1c1
Gm14565	Gm14565
6030498E09Rik	6030498E09Rik
Cypt15	Cypt15
Cypt14	Cypt14
Gria3	Gria3
Thoc2	Thoc2
Xiap	Xiap
Stag2	Stag2
Gm43337	Gm43337
Sh2d1a	Sh2d1a
Tenm1	Tenm1
Gm362	Gm362
Dcaf12l2	Dcaf12l2
Dcaf12l1	Dcaf12l1
Prr32	Prr32
4930515L19Rik	4930515L19Rik
Actrt1	Actrt1
Gm29242	Gm29242
Smarca1	Smarca1
Ocrl	Ocrl
Apln	Apln
Xpnpep2	Xpnpep2
Sash3	Sash3
Zdhhc9	Zdhhc9
Utp14a	Utp14a
9530027J09Rik	9530027J09Rik
Bcorl1	Bcorl1
Elf4	Elf4
Aifm1	Aifm1
Rab33a	Rab33a
Zfp280c	Zfp280c
Slc25a14	Slc25a14
Gpr119	Gpr119
Rbmx2	Rbmx2
Gm595	Gm595
Enox2	Enox2
Gm14696	Gm14696
Gm14697	Gm14697
Arhgap36	Arhgap36
Olfr1320	Olfr1320
Olfr1321	Olfr1321
Igsf1	Igsf1
Olfr1322	Olfr1322
Olfr1323	Olfr1323
Olfr1324	Olfr1324
Stk26	Stk26
Frmd7	Frmd7
Rap2c	Rap2c
Mbnl3	Mbnl3
Hs6st2	Hs6st2
Usp26	Usp26
1700080O16Rik	1700080O16Rik
Gpc4	Gpc4
Gpc3	Gpc3
Gm14582	Gm14582
A630012P03Rik	A630012P03Rik
Ccdc160	Ccdc160
Phf6	Phf6
Hprt	Hprt
Gm28730	Gm28730
Plac1	Plac1
Fam122b	Fam122b
Fam122c	Fam122c
Mospd1	Mospd1
Etd	Etd
Gm14597	Gm14597
Cxx1c	Cxx1c
Cxx1a	Cxx1a
Cxx1b	Cxx1b
4930502E18Rik	4930502E18Rik
1700013H16Rik	1700013H16Rik
Zfp36l3	Zfp36l3
Xlr	Xlr
Gm16405	Gm16405
Gm16430	Gm16430
Slxl1	Slxl1
3830403N18Rik	3830403N18Rik
Gm773	Gm773
1600025M17Rik	1600025M17Rik
Zfp449	Zfp449
Gm2155	Gm2155
Smim10l2a	Smim10l2a
Gm2174	Gm2174
Ddx26b	Ddx26b
Gm10477	Gm10477
Gm648	Gm648
Mmgt1	Mmgt1
Slc9a6	Slc9a6
Fhl1	Fhl1
Mtap7d3	Mtap7d3
Adgrg4	Adgrg4
Brs3	Brs3
Htatsf1	Htatsf1
Vgll1	Vgll1
Gm14718	Gm14718
Cd40lg	Cd40lg
Arhgef6	Arhgef6
Rbmx	Rbmx
Gm364	Gm364
Gpr101	Gpr101
Zic3	Zic3
4930550L24Rik	4930550L24Rik
Fgf13	Fgf13
F9	F9
Mcf2	Mcf2
Atp11c	Atp11c
Gm7073	Gm7073
Gm14661	Gm14661
Sox3	Sox3
Gm14662	Gm14662
Gm14664	Gm14664
Cdr1	Cdr1
Ldoc1	Ldoc1
4933402E13Rik	4933402E13Rik
4931400O07Rik	4931400O07Rik
1700019B21Rik	1700019B21Rik
Gm6760	Gm6760
3830417A13Rik	3830417A13Rik
Slitrk4	Slitrk4
Ctag2	Ctag2
4930447F04Rik	4930447F04Rik
Slitrk2	Slitrk2
1700036O09Rik	1700036O09Rik
Gm1140	Gm1140
Gm14692	Gm14692
4933436I01Rik	4933436I01Rik
Fmr1os	Fmr1os
Fmr1	Fmr1
Fmr1nb	Fmr1nb
Gm14698	Gm14698
Gm6812	Gm6812
Gm14705	Gm14705
Aff2	Aff2
1700111N16Rik	1700111N16Rik
1700020N15Rik	1700020N15Rik
Ids	Ids
1110012L19Rik	1110012L19Rik
4930567H17Rik	4930567H17Rik
BC023829	BC023829
Mamld1	Mamld1
Mtm1	Mtm1
Mtmr1	Mtmr1
Cd99l2	Cd99l2
Gm16189	Gm16189
Hmgb3	Hmgb3
Gpr50	Gpr50
Vma21	Vma21
Gm1141	Gm1141
Prrg3	Prrg3
Fate1	Fate1
Cnga2	Cnga2
Magea4	Magea4
Gabre	Gabre
Magea10	Magea10
Gabra3	Gabra3
Gabrq	Gabrq
Cetn2	Cetn2
Nsdhl	Nsdhl
Gm14684	Gm14684
Zfp185	Zfp185
Pnma5	Pnma5
Pnma3	Pnma3
Xlr4a	Xlr4a
Xlr3a	Xlr3a
Xlr5a	Xlr5a
Gm14685	Gm14685
DXBay18	DXBay18
Xlr5b	Xlr5b
Spin2d	Spin2d
Xlr3b	Xlr3b
Xlr4b	Xlr4b
F8a	F8a
Xlr4c	Xlr4c
Xlr3c	Xlr3c
Xlr5c	Xlr5c
RP23-95K12.13	RP23-95K12.13
Zfp275	Zfp275
Gm18336	Gm18336
Gm26726	Gm26726
Zfp92	Zfp92
Trex2	Trex2
Haus7	Haus7
Bgn	Bgn
Atp2b3	Atp2b3
Dusp9	Dusp9
Pnck	Pnck
Slc6a8	Slc6a8
Bcap31	Bcap31
Abcd1	Abcd1
Plxnb3	Plxnb3
Srpk3	Srpk3
Idh3g	Idh3g
Ssr4	Ssr4
Pdzd4	Pdzd4
L1cam	L1cam
Arhgap4	Arhgap4
Avpr2	Avpr2
Naa10	Naa10
Renbp	Renbp
Hcfc1	Hcfc1
Irak1	Irak1
Mecp2	Mecp2
Opn1mw	Opn1mw
Tex28	Tex28
Tktl1	Tktl1
Flna	Flna
Emd	Emd
Rpl10	Rpl10
Dnase1l1	Dnase1l1
Taz	Taz
Atp6ap1	Atp6ap1
Gdi1	Gdi1
Fam50a	Fam50a
Plxna3	Plxna3
Lage3	Lage3
Ubl4a	Ubl4a
Slc10a3	Slc10a3
Fam3a	Fam3a
Ikbkg	Ikbkg
G6pdx	G6pdx
Gm6880	Gm6880
Olfr1326-ps1	Olfr1326-ps1
Olfr1325	Olfr1325
Gm5640	Gm5640
Gm6890	Gm6890
Gm5936	Gm5936
Gab3	Gab3
Dkc1	Dkc1
Mpp1	Mpp1
Smim9	Smim9
F8	F8
Fundc2	Fundc2
Cmc4	Cmc4
Mtcp1	Mtcp1
Brcc3	Brcc3
Vbp1	Vbp1
Gm15384	Gm15384
Rab39b	Rab39b
Gm15063	Gm15063
Pls3	Pls3
Gm14715	Gm14715
Gm14707	Gm14707
Gm14717	Gm14717
Cldn34b3	Cldn34b3
Cldn34b4	Cldn34b4
Cldn34d	Cldn34d
Tbl1x	Tbl1x
Prkx	Prkx
Gm14742	Gm14742
Pbsn	Pbsn
Gm14744	Gm14744
5430402E10Rik	5430402E10Rik
Obp1a	Obp1a
Gm5938	Gm5938
Obp1b	Obp1b
Gm14743	Gm14743
4930480E11Rik	4930480E11Rik
Prrg1	Prrg1
Fam47c	Fam47c
Gm7173	Gm7173
Mageb16	Mageb16
Gm26775	Gm26775
Tmem47	Tmem47
4930595M18Rik	4930595M18Rik
Dmd	Dmd
Tsga8	Tsga8
Fthl17a	Fthl17a
Tab3	Tab3
Gk	Gk
Gm14764	Gm14764
Gm14762	Gm14762
5430427O19Rik	5430427O19Rik
Samt3	Samt3
Nr0b1	Nr0b1
Mageb4	Mageb4
Il1rapl1	Il1rapl1
Gm27000	Gm27000
Pet2	Pet2
4932429P05Rik	4932429P05Rik
4930415L06Rik	4930415L06Rik
Gm44	Gm44
Gm14773	Gm14773
Mageb2	Mageb2
Gm5072	Gm5072
Gm8914	Gm8914
1700084M14Rik	1700084M14Rik
Gm14781	Gm14781
Mageb5	Mageb5
Mageb1	Mageb1
Mageb18	Mageb18
Gm5941	Gm5941
1700003E24Rik	1700003E24Rik
BC061195	BC061195
Arx	Arx
Pola1	Pola1
Pcyt1b	Pcyt1b
Pdk3	Pdk3
AU015836	AU015836
Gm14798	Gm14798
Zfx	Zfx
Eif2s3x	Eif2s3x
Klhl15	Klhl15
Fam90a1b	Fam90a1b
Apoo	Apoo
Gm14827	Gm14827
Maged1	Maged1
Gspt2	Gspt2
Zxdb	Zxdb
RP23-9K14.6	RP23-9K14.6
Gm26617	Gm26617
Spin4	Spin4
Arhgef9	Arhgef9
Amer1	Amer1
Asb12	Asb12
Gm14818	Gm14818
Zc4h2	Zc4h2
Zc3h12b	Zc3h12b
1700010D01Rik	1700010D01Rik
Las1l	Las1l
Msn	Msn
F630028O10Rik	F630028O10Rik
Vsig4	Vsig4
Hsf3	Hsf3
Heph	Heph
Gpr165	Gpr165
Pgr15l	Pgr15l
Eda2r	Eda2r
Ar	Ar
Ophn1	Ophn1
Yipf6	Yipf6
Stard8	Stard8
Efnb1	Efnb1
Gm14812	Gm14812
Gm14809	Gm14809
Gm14808	Gm14808
Pja1	Pja1
